epoch,accuracy,loss,val_accuracy,val_loss
0,0.46293604373931885,1.6224313974380493,0.5625,1.1958541870117188
1,0.770348846912384,0.8514073491096497,0.7847222089767456,0.8285219073295593
2,0.8670058250427246,0.5376766920089722,0.8888888955116272,0.4960070252418518
3,0.9069767594337463,0.3949699103832245,0.9097222089767456,0.4083256721496582
4,0.9440407156944275,0.3045492172241211,0.8958333134651184,0.3668873906135559
5,0.9636628031730652,0.2265208214521408,0.9027777910232544,0.3643087148666382
6,0.9731104373931885,0.2057989090681076,0.9375,0.28397631645202637
7,0.9883720874786377,0.1504814624786377,0.9305555820465088,0.2928130030632019
8,0.9869186282157898,0.14534181356430054,0.9513888955116272,0.269939661026001
9,0.9949128031730652,0.11405725032091141,0.9236111044883728,0.2691940665245056
10,0.992732584476471,0.10751619189977646,0.9583333134651184,0.19022689759731293
11,0.9985465407371521,0.09029149264097214,0.9652777910232544,0.17242130637168884
12,1.0,0.07739076763391495,0.9513888955116272,0.19699694216251373
13,1.0,0.07166361063718796,0.9513888955116272,0.2118838131427765
14,1.0,0.06729438900947571,0.9652777910232544,0.1719805747270584
15,0.9992732405662537,0.06364040076732635,0.9652777910232544,0.18289263546466827
16,1.0,0.05572935566306114,0.9583333134651184,0.17907336354255676
17,1.0,0.05277613177895546,0.9375,0.21911326050758362
18,1.0,0.05055668577551842,0.9652777910232544,0.174213707447052
19,1.0,0.045432254672050476,0.9652777910232544,0.1651243418455124
20,1.0,0.04245014116168022,0.9652777910232544,0.16476863622665405
21,1.0,0.03953683748841286,0.9583333134651184,0.1558692306280136
22,1.0,0.03730235621333122,0.9444444179534912,0.16371208429336548
23,1.0,0.03562961891293526,0.9583333134651184,0.1295052319765091
24,1.0,0.03313622251152992,0.9583333134651184,0.13169875741004944
25,1.0,0.03076995722949505,0.9583333134651184,0.16091479361057281
26,1.0,0.02979266084730625,0.9583333134651184,0.165618896484375
27,1.0,0.027441412210464478,0.9652777910232544,0.1591549664735794
28,1.0,0.026061618700623512,0.9722222089767456,0.1230701208114624
29,1.0,0.02513793669641018,0.9652777910232544,0.11881545931100845
