epoch,accuracy,loss,val_accuracy,val_loss
0,0.5130813717842102,1.4768972396850586,0.7083333134651184,1.0748155117034912
1,0.8270348906517029,0.6788491606712341,0.8194444179534912,0.7867899537086487
2,0.8946220874786377,0.44930773973464966,0.8541666865348816,0.5102752447128296
3,0.9404069781303406,0.3187519311904907,0.8680555820465088,0.46386924386024475
4,0.957848846912384,0.25401321053504944,0.9305555820465088,0.32755354046821594
5,0.976017415523529,0.2005988508462906,0.9027777910232544,0.346093088388443
6,0.9745639562606812,0.18836048245429993,0.8819444179534912,0.4555426836013794
7,0.9702034592628479,0.19280314445495605,0.8958333134651184,0.38638246059417725
8,0.9818313717842102,0.1529579758644104,0.8888888955116272,0.3670697808265686
9,0.9869186282157898,0.1272653490304947,0.9375,0.29680439829826355
10,0.9920058250427246,0.10718896985054016,0.9166666865348816,0.33941200375556946
11,0.9941860437393188,0.09866232424974442,0.9583333134651184,0.24696797132492065
12,0.9963662624359131,0.0881546288728714,0.9444444179534912,0.2284570038318634
13,0.9847383499145508,0.11861081421375275,0.8819444179534912,0.44943416118621826
14,0.9694767594337463,0.16303081810474396,0.9375,0.2956921458244324
15,0.976017415523529,0.15627290308475494,0.9166666865348816,0.4291406571865082
16,0.9861918687820435,0.11533402651548386,0.9444444179534912,0.2678874731063843
17,0.9949128031730652,0.08290590345859528,0.9305555820465088,0.3167876601219177
18,0.9840116500854492,0.12045013159513474,0.9166666865348816,0.3163084387779236
19,0.9912790656089783,0.08759226649999619,0.9375,0.2708735764026642
20,0.9963662624359131,0.06676409393548965,0.9444444179534912,0.24335834383964539
21,0.9963662624359131,0.06427564471960068,0.9513888955116272,0.2951107621192932
22,0.9934592843055725,0.06682142615318298,0.9513888955116272,0.2518879175186157
23,0.9861918687820435,0.09399078041315079,0.9166666865348816,0.44298431277275085
24,0.9934592843055725,0.07797037065029144,0.9305555820465088,0.2518356442451477
25,0.9956395626068115,0.05849805474281311,0.9583333134651184,0.19735774397850037
26,0.9949128031730652,0.05653019994497299,0.9236111044883728,0.2559848129749298
27,0.9963662624359131,0.05425632745027542,0.9583333134651184,0.2055070698261261
28,0.9992732405662537,0.04265863075852394,0.9444444179534912,0.20131298899650574
29,0.9992732405662537,0.038893699645996094,0.9513888955116272,0.1980191171169281
